"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","ReqRes API Users Endpoint","","0","0","10","0","0"
"","SauceDemo Login Functionality","","1","0","10","0","0"
"","Checkout Process","","12","0","0","0","0"
"","Inventory Page Functionality","","17","0","4","0","0"
"","Shopping Cart Functionality","","6","0","0","0","0"
"","Product Sorting Functionality","","0","0","2","0","0"
