"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Apr 16 07:28:58 GMT 2025","Wed Apr 16 07:29:10 GMT 2025","11436","","","","","","Complete checkout process with multiple items for ""problem_user"" -- @1.2 ",""
"passed","Wed Apr 16 07:33:52 GMT 2025","Wed Apr 16 07:33:53 GMT 2025","1041","","","","","","Sort products from Z to A",""
"passed","Wed Apr 16 07:33:36 GMT 2025","Wed Apr 16 07:33:37 GMT 2025","942","","","","","","Login with typo in username",""
"passed","Wed Apr 16 07:27:22 GMT 2025","Wed Apr 16 07:27:23 GMT 2025","213","","","","","","Update user using PUT method",""
"passed","Wed Apr 16 07:27:23 GMT 2025","Wed Apr 16 07:27:23 GMT 2025","182","","","","","","Failed login with unregistered email",""
"passed","Wed Apr 16 07:33:35 GMT 2025","Wed Apr 16 07:33:36 GMT 2025","920","","","","","","Login with incorrect password",""
"failed","Wed Apr 16 07:28:23 GMT 2025","Wed Apr 16 07:28:34 GMT 2025","11438","","","","","","Add and remove items from cart as error_user -- @1.4 ",""
"passed","Wed Apr 16 07:33:27 GMT 2025","Wed Apr 16 07:33:33 GMT 2025","5961","","","","","","Login as performance_glitch_user -- @1.3 ",""
"failed","Wed Apr 16 07:32:59 GMT 2025","Wed Apr 16 07:33:12 GMT 2025","12431","","","","","","Remove product from cart for error_user -- @1.4 ",""
"passed","Wed Apr 16 07:33:51 GMT 2025","Wed Apr 16 07:33:52 GMT 2025","1020","","","","","","Sort products from A to Z",""
"failed","Wed Apr 16 07:30:02 GMT 2025","Wed Apr 16 07:30:03 GMT 2025","1495","","","","","","Checkout process through product details pages for ""problem_user"" -- @1.2 ",""
"failed","Wed Apr 16 07:28:47 GMT 2025","Wed Apr 16 07:28:58 GMT 2025","11417","","","","","","Complete checkout process with multiple items for ""standard_user"" -- @1.1 ",""
"passed","Wed Apr 16 07:33:49 GMT 2025","Wed Apr 16 07:33:50 GMT 2025","846","","","","","","Login with empty password",""
"passed","Wed Apr 16 07:30:26 GMT 2025","Wed Apr 16 07:30:27 GMT 2025","996","","","","","","Add product to cart - standard_user -- @1.1 ",""
"passed","Wed Apr 16 07:27:23 GMT 2025","Wed Apr 16 07:27:23 GMT 2025","187","","","","","","Delete user successfully",""
"passed","Wed Apr 16 07:30:17 GMT 2025","Wed Apr 16 07:30:23 GMT 2025","6084","","","","","","Verify inventory functionality as performance_glitch_user -- @1.3 ",""
"failed","Wed Apr 16 07:30:15 GMT 2025","Wed Apr 16 07:30:17 GMT 2025","1344","","","","","","Verify inventory functionality as problem_user -- @1.2 ",""
"failed","Wed Apr 16 07:28:34 GMT 2025","Wed Apr 16 07:28:45 GMT 2025","11398","","","","","","Add and remove items from cart as visual_user -- @1.5 ",""
"failed","Wed Apr 16 07:31:57 GMT 2025","Wed Apr 16 07:32:09 GMT 2025","11414","","","","","","Add multiple products to cart for error_user -- @1.4 ",""
"failed","Wed Apr 16 07:29:10 GMT 2025","Wed Apr 16 07:29:26 GMT 2025","16455","","","","","","Complete checkout process with multiple items for ""performance_glitch_user"" -- @1.3 ",""
"passed","Wed Apr 16 07:30:14 GMT 2025","Wed Apr 16 07:30:15 GMT 2025","1114","","","","","","Verify inventory functionality as standard_user -- @1.1 ",""
"failed","Wed Apr 16 07:31:29 GMT 2025","Wed Apr 16 07:31:41 GMT 2025","11403","","","","","","Add multiple products to cart for problem_user -- @1.2 ",""
"failed","Wed Apr 16 07:33:37 GMT 2025","Wed Apr 16 07:33:49 GMT 2025","11495","","","","","","User can logout successfully",""
