"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Feb 27 19:49:44 GMT 2025","Thu Feb 27 19:50:01 GMT 2025","16299","","","","","","Add product to cart - performance_glitch_user -- @1.3 ",""
"broken","Thu Feb 27 19:52:15 GMT 2025","Thu Feb 27 19:52:26 GMT 2025","11319","","","","","","Remove product from cart for visual_user -- @1.5 ",""
"broken","Thu Feb 27 19:51:47 GMT 2025","Thu Feb 27 19:52:04 GMT 2025","16294","","","","","","Remove product from cart for performance_glitch_user -- @1.3 ",""
"passed","Thu Feb 27 19:46:21 GMT 2025","Thu Feb 27 19:46:22 GMT 2025","303","","","","","","Successful login with valid credentials",""
"broken","Thu Feb 27 19:47:47 GMT 2025","Thu Feb 27 19:48:03 GMT 2025","16315","","","","","","Complete checkout process with multiple items for ""performance_glitch_user"" -- @1.3 ",""
"failed","Thu Feb 27 19:49:22 GMT 2025","Thu Feb 27 19:49:23 GMT 2025","1213","","","","","","Verify inventory functionality as problem_user -- @1.2 ",""
"broken","Thu Feb 27 19:51:14 GMT 2025","Thu Feb 27 19:51:25 GMT 2025","11319","","","","","","Add multiple products to cart for visual_user -- @1.5 ",""
"passed","Thu Feb 27 19:49:32 GMT 2025","Thu Feb 27 19:49:33 GMT 2025","865","","","","","","Add product to cart - standard_user -- @1.1 ",""
"passed","Thu Feb 27 19:52:42 GMT 2025","Thu Feb 27 19:52:43 GMT 2025","908","","","","","","Sort products from Z to A",""
"passed","Thu Feb 27 19:46:27 GMT 2025","Thu Feb 27 19:46:30 GMT 2025","3302","","","","","","Get users list with different delay times -- @1.3 ",""
"passed","Thu Feb 27 19:52:27 GMT 2025","Thu Feb 27 19:52:28 GMT 2025","807","","","","","","Login as standard_user -- @1.1 ",""
"passed","Thu Feb 27 19:46:31 GMT 2025","Thu Feb 27 19:46:33 GMT 2025","1514","","","","","","Add and remove items from cart as standard_user -- @1.1 ",""
"passed","Thu Feb 27 19:52:34 GMT 2025","Thu Feb 27 19:52:35 GMT 2025","859","","","","","","Login as error_user -- @1.4 ",""
"broken","Thu Feb 27 19:49:33 GMT 2025","Thu Feb 27 19:49:44 GMT 2025","11285","","","","","","Add product to cart - problem_user -- @1.2 ",""
"broken","Thu Feb 27 19:46:44 GMT 2025","Thu Feb 27 19:47:00 GMT 2025","16352","","","","","","Add and remove items from cart as performance_glitch_user -- @1.3 ",""
"broken","Thu Feb 27 19:51:36 GMT 2025","Thu Feb 27 19:51:47 GMT 2025","11289","","","","","","Remove product from cart for problem_user -- @1.2 ",""
"broken","Thu Feb 27 19:50:12 GMT 2025","Thu Feb 27 19:50:23 GMT 2025","11299","","","","","","Add product to cart - visual_user -- @1.5 ",""
"passed","Thu Feb 27 19:52:40 GMT 2025","Thu Feb 27 19:52:41 GMT 2025","751","","","","","","Login with empty username",""
"broken","Thu Feb 27 19:50:46 GMT 2025","Thu Feb 27 19:51:02 GMT 2025","16341","","","","","","Add multiple products to cart for performance_glitch_user -- @1.3 ",""
"passed","Thu Feb 27 19:49:23 GMT 2025","Thu Feb 27 19:49:29 GMT 2025","6010","","","","","","Verify inventory functionality as performance_glitch_user -- @1.3 ",""
"broken","Thu Feb 27 19:48:27 GMT 2025","Thu Feb 27 19:48:38 GMT 2025","11439","","","","","","Checkout process through product details pages for ""standard_user"" -- @1.1 ",""
"passed","Thu Feb 27 19:52:36 GMT 2025","Thu Feb 27 19:52:37 GMT 2025","820","","","","","","Login with locked out user",""
"failed","Thu Feb 27 19:48:26 GMT 2025","Thu Feb 27 19:48:27 GMT 2025","1041","","","","","","Complete checkout process with multiple items for ""locked_out_user"" -- @1.6 ",""
"passed","Thu Feb 27 19:46:23 GMT 2025","Thu Feb 27 19:46:24 GMT 2025","1320","","","","","","Get users list with different delay times -- @1.1 ",""
"broken","Thu Feb 27 19:47:36 GMT 2025","Thu Feb 27 19:47:47 GMT 2025","11297","","","","","","Complete checkout process with multiple items for ""problem_user"" -- @1.2 ",""
"failed","Thu Feb 27 19:49:30 GMT 2025","Thu Feb 27 19:49:31 GMT 2025","1230","","","","","","Verify inventory functionality as visual_user -- @1.5 ",""
"broken","Thu Feb 27 19:48:38 GMT 2025","Thu Feb 27 19:48:50 GMT 2025","11718","","","","","","Checkout process through product details pages for ""problem_user"" -- @1.2 ",""
"broken","Thu Feb 27 19:47:00 GMT 2025","Thu Feb 27 19:47:12 GMT 2025","11331","","","","","","Add and remove items from cart as error_user -- @1.4 ",""
"passed","Thu Feb 27 19:52:37 GMT 2025","Thu Feb 27 19:52:38 GMT 2025","843","","","","","","Login with incorrect password",""
"failed","Thu Feb 27 19:49:19 GMT 2025","Thu Feb 27 19:49:20 GMT 2025","998","","","","","","Checkout process through product details pages for ""locked_out_user"" -- @1.6 ",""
"passed","Thu Feb 27 19:46:21 GMT 2025","Thu Feb 27 19:46:21 GMT 2025","50","","","","","","Retrieve users from page 2",""
"passed","Thu Feb 27 19:52:28 GMT 2025","Thu Feb 27 19:52:28 GMT 2025","814","","","","","","Login as problem_user -- @1.2 ",""
"passed","Thu Feb 27 19:52:38 GMT 2025","Thu Feb 27 19:52:38 GMT 2025","841","","","","","","Login with typo in username",""
"broken","Thu Feb 27 19:47:12 GMT 2025","Thu Feb 27 19:47:23 GMT 2025","11303","","","","","","Add and remove items from cart as visual_user -- @1.5 ",""
"failed","Thu Feb 27 19:47:23 GMT 2025","Thu Feb 27 19:47:24 GMT 2025","1016","","","","","","Add and remove items from cart as locked_out_user -- @1.6 ",""
"broken","Thu Feb 27 19:48:03 GMT 2025","Thu Feb 27 19:48:15 GMT 2025","11333","","","","","","Complete checkout process with multiple items for ""error_user"" -- @1.4 ",""
"failed","Thu Feb 27 19:49:31 GMT 2025","Thu Feb 27 19:49:32 GMT 2025","1039","","","","","","Verify inventory functionality as locked_out_user -- @1.6 ",""
"broken","Thu Feb 27 19:50:35 GMT 2025","Thu Feb 27 19:50:46 GMT 2025","11309","","","","","","Add multiple products to cart for problem_user -- @1.2 ",""
"passed","Thu Feb 27 19:46:23 GMT 2025","Thu Feb 27 19:46:23 GMT 2025","313","","","","","","Failed login with unregistered email",""
"passed","Thu Feb 27 19:49:29 GMT 2025","Thu Feb 27 19:49:30 GMT 2025","980","","","","","","Verify inventory functionality as error_user -- @1.4 ",""
"passed","Thu Feb 27 19:46:22 GMT 2025","Thu Feb 27 19:46:22 GMT 2025","310","","","","","","Update user using PUT method",""
"passed","Thu Feb 27 19:52:39 GMT 2025","Thu Feb 27 19:52:40 GMT 2025","745","","","","","","Login with empty password",""
"broken","Thu Feb 27 19:48:50 GMT 2025","Thu Feb 27 19:49:06 GMT 2025","16338","","","","","","Checkout process through product details pages for ""performance_glitch_user"" -- @1.3 ",""
"broken","Thu Feb 27 19:47:24 GMT 2025","Thu Feb 27 19:47:36 GMT 2025","11296","","","","","","Complete checkout process with multiple items for ""standard_user"" -- @1.1 ",""
"passed","Thu Feb 27 19:46:24 GMT 2025","Thu Feb 27 19:46:27 GMT 2025","2311","","","","","","Get users list with different delay times -- @1.2 ",""
"broken","Thu Feb 27 19:50:01 GMT 2025","Thu Feb 27 19:50:12 GMT 2025","11300","","","","","","Add product to cart - error_user -- @1.4 ",""
