"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Feb 27 20:07:27 GMT 2025","Thu Feb 27 20:07:38 GMT 2025","11376","","","","","","Complete checkout process with multiple items for ""visual_user"" -- @1.5 ",""
"passed","Thu Feb 27 20:11:43 GMT 2025","Thu Feb 27 20:11:49 GMT 2025","5870","","","","","","Login as performance_glitch_user -- @1.3 ",""
"failed","Thu Feb 27 20:06:36 GMT 2025","Thu Feb 27 20:06:47 GMT 2025","11371","","","","","","Complete checkout process with multiple items for ""standard_user"" -- @1.1 ",""
"passed","Thu Feb 27 20:05:33 GMT 2025","Thu Feb 27 20:05:33 GMT 2025","205","","","","","","Update user using PUT method",""
"failed","Thu Feb 27 20:11:18 GMT 2025","Thu Feb 27 20:11:30 GMT 2025","11363","","","","","","Remove product from cart for error_user -- @1.4 ",""
"passed","Thu Feb 27 20:05:42 GMT 2025","Thu Feb 27 20:05:44 GMT 2025","1756","","","","","","Add and remove items from cart as standard_user -- @1.1 ",""
"failed","Thu Feb 27 20:08:19 GMT 2025","Thu Feb 27 20:08:20 GMT 2025","1685","","","","","","Checkout process through product details pages for ""error_user"" -- @1.4 ",""
"failed","Thu Feb 27 20:08:47 GMT 2025","Thu Feb 27 20:08:58 GMT 2025","11361","","","","","","Add product to cart - problem_user -- @1.2 ",""
"failed","Thu Feb 27 20:06:23 GMT 2025","Thu Feb 27 20:06:35 GMT 2025","11371","","","","","","Add and remove items from cart as visual_user -- @1.5 ",""
"passed","Thu Feb 27 20:11:51 GMT 2025","Thu Feb 27 20:11:52 GMT 2025","870","","","","","","Login with locked out user",""
"passed","Thu Feb 27 20:05:33 GMT 2025","Thu Feb 27 20:05:33 GMT 2025","198","","","","","","Update user using PATCH method",""
"failed","Thu Feb 27 20:10:51 GMT 2025","Thu Feb 27 20:11:02 GMT 2025","11365","","","","","","Remove product from cart for problem_user -- @1.2 ",""
"failed","Thu Feb 27 20:08:02 GMT 2025","Thu Feb 27 20:08:19 GMT 2025","16430","","","","","","Checkout process through product details pages for ""performance_glitch_user"" -- @1.3 ",""
"failed","Thu Feb 27 20:10:39 GMT 2025","Thu Feb 27 20:10:51 GMT 2025","11333","","","","","","Remove product from cart for standard_user -- @1.1 ",""
"passed","Thu Feb 27 20:08:42 GMT 2025","Thu Feb 27 20:08:43 GMT 2025","1036","","","","","","Verify inventory functionality as error_user -- @1.4 ",""
"failed","Thu Feb 27 20:08:43 GMT 2025","Thu Feb 27 20:08:44 GMT 2025","1344","","","","","","Verify inventory functionality as visual_user -- @1.5 ",""
"failed","Thu Feb 27 20:07:15 GMT 2025","Thu Feb 27 20:07:27 GMT 2025","11367","","","","","","Complete checkout process with multiple items for ""error_user"" -- @1.4 ",""
"failed","Thu Feb 27 20:05:44 GMT 2025","Thu Feb 27 20:05:55 GMT 2025","11369","","","","","","Add and remove items from cart as problem_user -- @1.2 ",""
"passed","Thu Feb 27 20:12:06 GMT 2025","Thu Feb 27 20:12:07 GMT 2025","1777","","","","","","Login with empty username",""
"failed","Thu Feb 27 20:07:39 GMT 2025","Thu Feb 27 20:07:50 GMT 2025","11482","","","","","","Checkout process through product details pages for ""standard_user"" -- @1.1 ",""
"failed","Thu Feb 27 20:10:28 GMT 2025","Thu Feb 27 20:10:39 GMT 2025","11356","","","","","","Add multiple products to cart for visual_user -- @1.5 ",""
"failed","Thu Feb 27 20:08:58 GMT 2025","Thu Feb 27 20:09:15 GMT 2025","16354","","","","","","Add product to cart - performance_glitch_user -- @1.3 ",""
"passed","Thu Feb 27 20:11:52 GMT 2025","Thu Feb 27 20:11:53 GMT 2025","934","","","","","","Login with incorrect password",""
"passed","Thu Feb 27 20:11:53 GMT 2025","Thu Feb 27 20:11:53 GMT 2025","874","","","","","","Login with typo in username",""
"failed","Thu Feb 27 20:11:53 GMT 2025","Thu Feb 27 20:12:05 GMT 2025","11408","","","","","","User can logout successfully",""
"passed","Thu Feb 27 20:08:33 GMT 2025","Thu Feb 27 20:08:34 GMT 2025","1056","","","","","","Verify inventory functionality as standard_user -- @1.1 ",""
"failed","Thu Feb 27 20:07:50 GMT 2025","Thu Feb 27 20:08:02 GMT 2025","11884","","","","","","Checkout process through product details pages for ""problem_user"" -- @1.2 ",""
"failed","Thu Feb 27 20:06:59 GMT 2025","Thu Feb 27 20:07:15 GMT 2025","16383","","","","","","Complete checkout process with multiple items for ""performance_glitch_user"" -- @1.3 ",""
"failed","Thu Feb 27 20:11:30 GMT 2025","Thu Feb 27 20:11:41 GMT 2025","11385","","","","","","Remove product from cart for visual_user -- @1.5 ",""
"failed","Thu Feb 27 20:06:35 GMT 2025","Thu Feb 27 20:06:36 GMT 2025","1048","","","","","","Add and remove items from cart as locked_out_user -- @1.6 ",""
"passed","Thu Feb 27 20:12:08 GMT 2025","Thu Feb 27 20:12:09 GMT 2025","930","","","","","","Sort products from A to Z",""
"passed","Thu Feb 27 20:11:41 GMT 2025","Thu Feb 27 20:11:42 GMT 2025","879","","","","","","Login as standard_user -- @1.1 ",""
"passed","Thu Feb 27 20:11:49 GMT 2025","Thu Feb 27 20:11:50 GMT 2025","871","","","","","","Login as error_user -- @1.4 ",""
"passed","Thu Feb 27 20:05:33 GMT 2025","Thu Feb 27 20:05:33 GMT 2025","53","","","","","","Retrieve users from page 2",""
"failed","Thu Feb 27 20:09:15 GMT 2025","Thu Feb 27 20:09:26 GMT 2025","11366","","","","","","Add product to cart - error_user -- @1.4 ",""
"failed","Thu Feb 27 20:09:49 GMT 2025","Thu Feb 27 20:10:00 GMT 2025","11340","","","","","","Add multiple products to cart for problem_user -- @1.2 ",""
"passed","Thu Feb 27 20:05:34 GMT 2025","Thu Feb 27 20:05:34 GMT 2025","198","","","","","","Failed login with unregistered email",""
"failed","Thu Feb 27 20:06:47 GMT 2025","Thu Feb 27 20:06:59 GMT 2025","11381","","","","","","Complete checkout process with multiple items for ""problem_user"" -- @1.2 ",""
"failed","Thu Feb 27 20:09:26 GMT 2025","Thu Feb 27 20:09:37 GMT 2025","11354","","","","","","Add product to cart - visual_user -- @1.5 ",""
"passed","Thu Feb 27 20:05:33 GMT 2025","Thu Feb 27 20:05:34 GMT 2025","199","","","","","","Delete user successfully",""
"failed","Thu Feb 27 20:07:38 GMT 2025","Thu Feb 27 20:07:39 GMT 2025","1042","","","","","","Complete checkout process with multiple items for ""locked_out_user"" -- @1.6 ",""
"passed","Thu Feb 27 20:05:34 GMT 2025","Thu Feb 27 20:05:34 GMT 2025","221","","","","","","Failed login with missing password",""
"failed","Thu Feb 27 20:08:44 GMT 2025","Thu Feb 27 20:08:45 GMT 2025","1039","","","","","","Verify inventory functionality as locked_out_user -- @1.6 ",""
"passed","Thu Feb 27 20:05:33 GMT 2025","Thu Feb 27 20:05:33 GMT 2025","187","","","","","","Successful login with valid credentials",""
"failed","Thu Feb 27 20:09:37 GMT 2025","Thu Feb 27 20:09:49 GMT 2025","11337","","","","","","Add multiple products to cart for standard_user -- @1.1 ",""
"passed","Thu Feb 27 20:08:36 GMT 2025","Thu Feb 27 20:08:42 GMT 2025","6024","","","","","","Verify inventory functionality as performance_glitch_user -- @1.3 ",""
"passed","Thu Feb 27 20:08:45 GMT 2025","Thu Feb 27 20:08:47 GMT 2025","1921","","","","","","Add product to cart - standard_user -- @1.1 ",""
"passed","Thu Feb 27 20:12:05 GMT 2025","Thu Feb 27 20:12:06 GMT 2025","783","","","","","","Login with empty password",""
"failed","Thu Feb 27 20:05:55 GMT 2025","Thu Feb 27 20:06:12 GMT 2025","16398","","","","","","Add and remove items from cart as performance_glitch_user -- @1.3 ",""
"failed","Thu Feb 27 20:08:32 GMT 2025","Thu Feb 27 20:08:33 GMT 2025","1032","","","","","","Checkout process through product details pages for ""locked_out_user"" -- @1.6 ",""
"failed","Thu Feb 27 20:08:20 GMT 2025","Thu Feb 27 20:08:32 GMT 2025","11413","","","","","","Checkout process through product details pages for ""visual_user"" -- @1.5 ",""
"passed","Thu Feb 27 20:05:37 GMT 2025","Thu Feb 27 20:05:41 GMT 2025","3190","","","","","","Get users list with different delay times -- @1.3 ",""
"passed","Thu Feb 27 20:05:34 GMT 2025","Thu Feb 27 20:05:35 GMT 2025","1190","","","","","","Get users list with different delay times -- @1.1 ",""
"passed","Thu Feb 27 20:12:09 GMT 2025","Thu Feb 27 20:12:10 GMT 2025","965","","","","","","Sort products from Z to A",""
"failed","Thu Feb 27 20:08:34 GMT 2025","Thu Feb 27 20:08:36 GMT 2025","1250","","","","","","Verify inventory functionality as problem_user -- @1.2 ",""
