"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 27 19:25:53 GMT 2025","Thu Feb 27 19:25:54 GMT 2025","956","","","","","","Login with locked out user",""
"passed","Thu Feb 27 19:25:40 GMT 2025","Thu Feb 27 19:25:40 GMT 2025","179","","","","","","Failed login with missing password",""
"skipped","Thu Feb 27 19:25:40 GMT 2025","Thu Feb 27 19:25:40 GMT 2025","0","","","","","","Delete user successfully",""
"passed","Thu Feb 27 19:25:41 GMT 2025","Thu Feb 27 19:25:43 GMT 2025","1656","","","","","","Login as standard_user -- @1.1 ",""
"passed","Thu Feb 27 19:25:40 GMT 2025","Thu Feb 27 19:25:40 GMT 2025","176","","","","","","Successful login with valid credentials",""
"skipped","Thu Feb 27 19:25:40 GMT 2025","Thu Feb 27 19:25:40 GMT 2025","0","","","","","","Get users list with different delay times -- @1.1 ",""
"passed","Thu Feb 27 19:25:51 GMT 2025","Thu Feb 27 19:25:52 GMT 2025","1099","","","","","","Login as error_user -- @1.4 ",""
"skipped","Thu Feb 27 19:25:40 GMT 2025","Thu Feb 27 19:25:40 GMT 2025","0","","","","","","Update user using PATCH method",""
"skipped","Thu Feb 27 19:25:40 GMT 2025","Thu Feb 27 19:25:40 GMT 2025","1","","","","","","Complete checkout process with multiple items for ""<all_users>"" -- @1.1 ",""
"passed","Thu Feb 27 19:25:43 GMT 2025","Thu Feb 27 19:25:44 GMT 2025","856","","","","","","Login as problem_user -- @1.2 ",""
"skipped","Thu Feb 27 19:25:40 GMT 2025","Thu Feb 27 19:25:40 GMT 2025","1","","","","","","Verify inventory functionality as <all_users> -- @1.1 ",""
"skipped","Thu Feb 27 19:25:54 GMT 2025","Thu Feb 27 19:25:54 GMT 2025","1","","","","","","User can logout successfully",""
"skipped","Thu Feb 27 19:25:54 GMT 2025","Thu Feb 27 19:25:54 GMT 2025","0","","","","","","Sort products from Z to A",""
"skipped","Thu Feb 27 19:25:40 GMT 2025","Thu Feb 27 19:25:40 GMT 2025","1","","","","","","Retrieve users from page 2",""
"skipped","Thu Feb 27 19:25:40 GMT 2025","Thu Feb 27 19:25:40 GMT 2025","1","","","","","","Checkout process through product details pages for ""<all_users>"" -- @1.1 ",""
"skipped","Thu Feb 27 19:25:40 GMT 2025","Thu Feb 27 19:25:40 GMT 2025","1","","","","","","Add product to cart - <valid_users> -- @1.1 ",""
"skipped","Thu Feb 27 19:25:40 GMT 2025","Thu Feb 27 19:25:40 GMT 2025","0","","","","","","Remove product from cart for <valid_users> -- @1.1 ",""
"skipped","Thu Feb 27 19:25:40 GMT 2025","Thu Feb 27 19:25:40 GMT 2025","1","","","","","","Get users list with different delay times -- @1.3 ",""
"skipped","Thu Feb 27 19:25:40 GMT 2025","Thu Feb 27 19:25:40 GMT 2025","0","","","","","","Update user using PUT method",""
"skipped","Thu Feb 27 19:25:54 GMT 2025","Thu Feb 27 19:25:54 GMT 2025","1","","","","","","Sort products from A to Z",""
"passed","Thu Feb 27 19:25:52 GMT 2025","Thu Feb 27 19:25:53 GMT 2025","975","","","","","","Login as visual_user -- @1.5 ",""
"skipped","Thu Feb 27 19:25:40 GMT 2025","Thu Feb 27 19:25:40 GMT 2025","1","","","","","","Get users list with different delay times -- @1.2 ",""
"skipped","Thu Feb 27 19:25:54 GMT 2025","Thu Feb 27 19:25:54 GMT 2025","1","","","","","","Login with empty password",""
"skipped","Thu Feb 27 19:25:40 GMT 2025","Thu Feb 27 19:25:40 GMT 2025","0","","","","","","Add multiple products to cart for <valid_users> -- @1.1 ",""
"skipped","Thu Feb 27 19:25:54 GMT 2025","Thu Feb 27 19:25:54 GMT 2025","1","","","","","","Login with incorrect password",""
"passed","Thu Feb 27 19:25:40 GMT 2025","Thu Feb 27 19:25:40 GMT 2025","168","","","","","","Failed login with unregistered email",""
"passed","Thu Feb 27 19:25:44 GMT 2025","Thu Feb 27 19:25:51 GMT 2025","6892","","","","","","Login as performance_glitch_user -- @1.3 ",""
"skipped","Thu Feb 27 19:25:54 GMT 2025","Thu Feb 27 19:25:54 GMT 2025","1","","","","","","Login with empty username",""
"skipped","Thu Feb 27 19:25:54 GMT 2025","Thu Feb 27 19:25:54 GMT 2025","1","","","","","","Login with typo in username",""
"skipped","Thu Feb 27 19:25:40 GMT 2025","Thu Feb 27 19:25:40 GMT 2025","0","","","","","","Add and remove items from cart as <all_users> -- @1.1 ",""
