"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Feb 28 09:51:06 GMT 2025","Fri Feb 28 09:51:17 GMT 2025","11386","","","","","","Add and remove items from cart as visual_user -- @1.5 ",""
"failed","Fri Feb 28 09:53:14 GMT 2025","Fri Feb 28 09:53:15 GMT 2025","1028","","","","","","Checkout process through product details pages for ""locked_out_user"" -- @1.6 ",""
"failed","Fri Feb 28 09:51:18 GMT 2025","Fri Feb 28 09:51:30 GMT 2025","11358","","","","","","Complete checkout process with multiple items for ""standard_user"" -- @1.1 ",""
"failed","Fri Feb 28 09:55:10 GMT 2025","Fri Feb 28 09:55:22 GMT 2025","11369","","","","","","Add multiple products to cart for visual_user -- @1.5 ",""
"passed","Fri Feb 28 09:49:58 GMT 2025","Fri Feb 28 09:49:58 GMT 2025","182","","","","","","Update user using PATCH method",""
"failed","Fri Feb 28 09:52:45 GMT 2025","Fri Feb 28 09:53:01 GMT 2025","16448","","","","","","Checkout process through product details pages for ""performance_glitch_user"" -- @1.3 ",""
"failed","Fri Feb 28 09:52:09 GMT 2025","Fri Feb 28 09:52:20 GMT 2025","11390","","","","","","Complete checkout process with multiple items for ""visual_user"" -- @1.5 ",""
"passed","Fri Feb 28 09:53:27 GMT 2025","Fri Feb 28 09:53:28 GMT 2025","920","","","","","","Add product to cart - standard_user -- @1.1 ",""
"passed","Fri Feb 28 09:56:33 GMT 2025","Fri Feb 28 09:56:34 GMT 2025","881","","","","","","Login with locked out user",""
"passed","Fri Feb 28 09:49:57 GMT 2025","Fri Feb 28 09:49:57 GMT 2025","60","","","","","","Retrieve users from page 2",""
"failed","Fri Feb 28 09:52:33 GMT 2025","Fri Feb 28 09:52:45 GMT 2025","11901","","","","","","Checkout process through product details pages for ""problem_user"" -- @1.2 ",""
"failed","Fri Feb 28 09:55:44 GMT 2025","Fri Feb 28 09:56:01 GMT 2025","16379","","","","","","Remove product from cart for performance_glitch_user -- @1.3 ",""
