"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 28 09:56:36 GMT 2025","Fri Feb 28 09:56:37 GMT 2025","841","","","","","","Login as standard_user -- @1.1 ",""
"passed","Fri Feb 28 09:53:32 GMT 2025","Fri Feb 28 09:53:38 GMT 2025","6031","","","","","","Verify inventory functionality as performance_glitch_user -- @1.3 ",""
"passed","Fri Feb 28 09:57:01 GMT 2025","Fri Feb 28 09:57:02 GMT 2025","914","","","","","","Sort products from A to Z",""
"failed","Fri Feb 28 09:50:40 GMT 2025","Fri Feb 28 09:50:52 GMT 2025","11403","","","","","","Add and remove items from cart as problem_user -- @1.2 ",""
"failed","Fri Feb 28 09:54:21 GMT 2025","Fri Feb 28 09:54:32 GMT 2025","11328","","","","","","Add product to cart - visual_user -- @1.5 ",""
"failed","Fri Feb 28 09:51:44 GMT 2025","Fri Feb 28 09:51:55 GMT 2025","11350","","","","","","Complete checkout process with multiple items for ""problem_user"" -- @1.2 ",""
"passed","Fri Feb 28 09:50:24 GMT 2025","Fri Feb 28 09:50:25 GMT 2025","191","","","","","","Update user using PUT method",""
"failed","Fri Feb 28 09:51:20 GMT 2025","Fri Feb 28 09:51:31 GMT 2025","11354","","","","","","Add and remove items from cart as visual_user -- @1.5 ",""
"passed","Fri Feb 28 09:53:38 GMT 2025","Fri Feb 28 09:53:39 GMT 2025","987","","","","","","Verify inventory functionality as error_user -- @1.4 ",""
"passed","Fri Feb 28 09:53:29 GMT 2025","Fri Feb 28 09:53:30 GMT 2025","1009","","","","","","Verify inventory functionality as standard_user -- @1.1 ",""
"failed","Fri Feb 28 09:55:23 GMT 2025","Fri Feb 28 09:55:34 GMT 2025","11336","","","","","","Add multiple products to cart for visual_user -- @1.5 ",""
"passed","Fri Feb 28 09:50:25 GMT 2025","Fri Feb 28 09:50:25 GMT 2025","180","","","","","","Failed login with unregistered email",""
"failed","Fri Feb 28 09:53:42 GMT 2025","Fri Feb 28 09:53:53 GMT 2025","11334","","","","","","Add product to cart - problem_user -- @1.2 ",""
"failed","Fri Feb 28 09:56:13 GMT 2025","Fri Feb 28 09:56:24 GMT 2025","11366","","","","","","Remove product from cart for error_user -- @1.4 ",""
"failed","Fri Feb 28 09:51:55 GMT 2025","Fri Feb 28 09:52:11 GMT 2025","16365","","","","","","Complete checkout process with multiple items for ""performance_glitch_user"" -- @1.3 ",""
"passed","Fri Feb 28 09:50:27 GMT 2025","Fri Feb 28 09:50:29 GMT 2025","2165","","","","","","Get users list with different delay times -- @1.2 ",""
"passed","Fri Feb 28 09:56:44 GMT 2025","Fri Feb 28 09:56:45 GMT 2025","840","","","","","","Login as error_user -- @1.4 ",""
